newFID,NDVI,MK,Main_Type
1,-0.005220672,-1,3
2,0.211294538,4,1
3,0.031751591,1,1
4,0.100521805,4,1
5,-0.053631691,-1,1
6,0.090281929,2,2
7,0.053723055,1,1
8,0.09149959,1,1
9,-0.016613939,-1,1
10,-0.141451009,-3,1
11,0.055459611,1,1
12,0.145141277,3,1
13,0.064885472,1,2
14,0.162428906,3,1
15,0.019133624,1,1
16,0.044556652,2,1
17,-0.052099163,-1,1
18,-0.062790144,-2,1
19,0.16127357,4,1
20,0.156140311,4,1
21,0.142875409,3,1
22,0.091511826,4,1
24,-0.037452689,-1,1
26,-0.010221433,-1,1
27,0.127348925,4,3
28,0.101371732,3,1
29,0.005850656,1,2
30,0.216328817,4,1
31,0.03351917,1,1
32,0.080500154,4,1
33,0.073672495,1,1
34,0.090073321,3,1
35,0.199024647,4,1
36,0.130853503,1,3
37,0.106325381,1,2
38,0.098574625,3,2
39,0.094274363,2,1
40,0.100120719,1,1
41,0.032926314,1,1
42,0.061952709,3,1
43,0.118528892,4,1
44,0.141929733,3,2
45,-0.015671978,-1,1
46,0.006197107,1,1
47,0.039367223,1,1
48,0.078215593,3,2
49,-0.048004724,-1,1
50,0.044912671,1,1
51,0.119218644,3,1
52,-0.007589649,-1,1
53,0.02189891,1,1
54,-0.003165445,-1,1
55,-0.034816745,-1,1
56,0.12863347,3,2
57,0.073451703,3,1
58,-0.081581219,-1,1
59,-0.06509691,-1,2
60,0.067044973,3,1
61,0.210103821,4,1
62,-0.100377073,-1,1
63,0.12220792,3,1
64,0.214871441,3,1
65,0.282971944,4,2
66,0.058279254,1,1
67,0.13213807,1,1
68,-0.032206012,-1,3
69,0.0854632,2,1
70,0.225121163,4,1
71,0.19186624,4,1
72,0.143140771,4,1
73,0.224336958,4,1
74,0.044423544,1,1
75,0.179980582,4,1
76,0.027124743,1,2
77,0.108806098,4,1
78,-0.818379463,-4,1
79,0.031863015,2,1
80,0.009280089,1,2
81,0.048061233,1,2
82,0.090920331,3,2
83,0.344567882,4,1
84,-0.086133972,-4,1
85,0.121817238,3,3
86,0.033719487,1,1
87,0.052530988,1,1
88,0.112210218,4,1
89,0.12142175,1,1
90,0.181538543,3,1
91,0.032240489,1,1
92,0.146470129,3,1
93,0.134747225,4,1
