newFID,VC,MK,Main_Type
1,0.120767511,4,3
2,0.225280412,4,1
3,0.81643781,4,1
4,0.512849856,4,1
5,0.699248841,4,1
6,0.157127966,4,2
7,1.271393428,4,1
8,0.300132063,1,1
9,0.924870518,4,1
10,0.096040759,1,1
11,0.920706787,4,1
12,0.499957718,4,1
13,0.333278126,4,2
14,0.232072594,4,1
15,1.146245495,4,1
16,1.07827296,4,1
17,0.526824664,3,1
18,0.297223354,1,1
19,0.790948459,4,1
20,0.567888233,4,1
21,0.982378428,4,1
22,0.571884658,4,1
24,0.18845021,1,1
26,0.753469107,4,1
27,0.262416808,4,3
28,0.199911738,3,1
29,0.266657073,4,2
30,0.599739062,4,1
31,0.61900399,4,1
32,0.970776787,4,1
33,1.207955965,4,1
34,0.607580384,4,1
35,0.660210799,4,1
36,0.306458941,4,3
37,0.368202986,4,2
38,0.132784778,4,2
39,0.396765595,4,1
40,0.34776086,3,1
41,0.487689789,4,1
42,0.557123086,4,1
43,0.203178966,4,1
44,0.642073074,4,2
45,0.748622695,4,1
46,-0.561933943,-3,1
47,0.299137626,4,1
48,0.053692896,4,2
49,0.773050769,3,1
50,0.561147599,3,1
51,1.043080206,4,1
52,0.505711561,4,1
53,0.4670544,4,1
54,0.804730751,4,1
55,0.443543904,4,1
56,0.551438817,4,2
57,1.016142525,4,1
58,1.007666766,4,1
59,0.375869677,4,2
60,0.144688481,4,1
61,0.817490617,4,1
62,0.708013921,4,1
63,0.749303505,4,1
64,0.285566089,4,1
65,0.445577991,4,2
66,0.611195704,4,1
67,0.116320768,1,1
68,0.124718294,4,3
69,0.558572463,4,1
70,0.999185816,4,1
71,0.198134015,1,1
72,0.756598809,4,1
73,-0.070919061,-1,1
74,0.680428378,4,1
75,0.395202441,4,1
76,0.225604676,3,2
77,0.037828925,4,1
78,0.419165485,3,1
79,0.018854434,1,1
80,0.246697556,4,2
81,0.356435154,4,2
82,0.581188336,4,2
83,0.013446189,4,1
84,0.012642978,2,1
85,0.339899188,4,3
86,0.569354851,4,1
87,0.238385621,3,1
88,1.967413612,4,1
89,0.294823159,1,1
90,-0.10246017,-1,1
91,0.132715903,1,1
92,-0.483109963,-1,1
93,0.91075577,4,1
