newFID,VC,MK
1,0.006728402,4
2,0.120732399,4
3,0.798966483,4
4,0.278407952,4
5,0.868243407,4
6,0.007307923,1
7,1.225955651,4
8,0.484108165,2
9,1.178581144,4
10,-0.079293917,-1
11,0.243624278,4
12,0.234093218,4
13,0.213374427,4
14,0.13928117,4
15,0.734306208,4
16,0.446010824,3
17,0.302847025,2
18,0.202797113,1
19,0.313719444,4
20,0.31789361,4
21,0.789522632,4
22,0.799646604,4
24,0.225940415,4
26,0.804848723,4
27,0.061750917,4
28,0.091461197,4
29,0.001989351,2
30,0.518197619,4
31,0.061576613,1
32,0.35321856,4
33,0.550552945,4
34,0.036153827,1
35,0.200172342,4
36,0.046510296,4
37,0.179428912,4
38,0.004420511,1
39,0.110547825,4
40,0.319766678,4
41,0.110322677,4
42,0.510011991,4
43,0.089729476,4
44,0.017206147,1
45,0.685994426,4
46,-0.237073217,-1
47,0.358027264,4
48,0.003534995,4
49,0.643084767,4
50,0.572968484,2
51,0.872312983,4
52,0.022529538,1
53,0.162288796,4
54,0.985825454,4
55,0.799982898,4
56,0.024514248,4
57,0.776615216,4
58,0.751328421,4
59,0.180986411,3
60,0.660714011,4
61,0.30558072,4
62,0.073754382,3
63,0.112042932,4
64,0.052991944,4
65,0.082851598,4
66,0.09584302,4
67,0.196313612,4
68,0.042652441,4
69,0.260123883,4
70,0.52668506,4
71,-0.281620793,-1
72,0.231853306,4
73,0.007278233,1
74,0.290222513,2
75,0.190694587,3
76,-0.002281939,-1
77,0.012476592,4
78,0.52059408,4
79,0.006450791,4
80,0.041638874,4
81,0.271349639,4
82,0.04851147,4
83,0.054911126,4
84,0.373911048,1
85,0.012016922,4
86,0.275069612,3
87,0.331547862,4
88,1.290486178,4
89,0.295811021,1
90,-0.195693347,-1
91,0.160425352,4
92,-0.416071936,-1
93,1.199878213,4
