newFID,HAF_high,HAF_moderate,HAF_low,HIF_high,HIF_moderate,HIF_low,HAF_Dominant,HIF_Dominant,HAF_FVC,HIF_FVC
1,-0.009597426,0.163742682,-0.080294093,-0.005886658,0.01168752,0,3,3,0.120767511,0.006728402
2,0.170984512,0.92025776,-0.891863429,0.654753395,-0.055652774,-0.454832412,1,3,0.225280412,0.120732399
3,0.133958599,0.342726784,0.342591615,0.109012321,0.493989091,0.141465305,1,1,0.81643781,0.798966483
4,0.179434248,0.213217287,0.097193978,0.180930755,0.038303661,0.060731097,1,1,0.512849856,0.278407952
5,-0.04111342,0.304264283,0.355692652,0.05779612,0.173445873,0.741287705,1,1,0.699248841,0.868243407
6,0.219847487,0.098079974,-0.158055546,-0.06765206,-0.049947808,0.132566913,2,3,0.157127966,0.007307923
7,0.04002341,0.290311495,0.929795249,0.547223852,0.425682149,0.418919687,1,1,1.271393428,1.225955651
8,0.009922348,0.141544454,0.171150877,0.297663739,0.334250003,-0.057832809,1,1,0.300132063,0.484108165
9,-0.000314755,0.059577279,0.893857308,0.030949552,0.154927711,0.955500129,1,1,0.924870518,1.178581144
10,-0.176303716,-0.02375833,0.177966814,0.049222078,0.014740206,-0.145172121,1,2,0.096040759,-0.079293917
11,0.068526091,0.437444701,0.377126397,0.41539868,0.347849794,-0.43775539,1,2,0.920706787,0.243624278
12,0.000330613,0.051840733,0.453515592,0.000800779,0.032623442,0.200008914,1,1,0.499957718,0.234093218
13,0.121317484,0.322906256,-0.072382281,0.412566503,-0.076085839,-0.140982212,3,3,0.333278126,0.213374427
14,0.015319285,0.539156749,-0.287294467,0,0.301567397,-0.161322414,1,1,0.232072594,0.13928117
15,0,0.316969081,0.920448056,-0.006796281,0.189218074,0.635690515,1,1,1.146245495,0.734306208
16,0,0.006063275,1.031139997,0.000262054,0.019565706,0.440010134,1,1,1.07827296,0.446010824
17,-0.029831501,0.015484022,0.53305476,0.144084032,0.006541679,0.158511819,1,1,0.526824664,0.302847025
18,-0.001469837,-0.046633367,0.234766407,-0.022140569,-0.00429713,0.179949838,1,1,0.297223354,0.202797113
19,0.24175304,0.611185232,-0.114107895,0.581891369,-0.039337271,-0.233520963,1,3,0.790948459,0.313719444
20,0.021166356,0.461520024,0.085012269,0.051190226,0.521232085,-0.218535327,1,1,0.567888233,0.31789361
21,0.016786512,0.288910489,0.53361391,0.00417076,0.046646227,0.771045808,1,1,0.982378428,0.789522632
22,0.010266004,0.096079152,0.477207508,0.040444647,0.289771818,0.381676578,1,1,0.571884658,0.799646604
24,0.008135724,0,0.201491982,0.012136512,0.045286122,0.19455712,1,1,0.18845021,0.225940415
26,0.02222952,0.13166228,0.56535207,0.006131421,0.190444883,0.591866932,1,1,0.753469107,0.804848723
27,0.399795073,-0.015555328,-0.149479665,0.073881053,0.101884032,-0.109489159,3,2,0.262416808,0.061750917
28,0.053351742,0.229973403,-0.151980433,0.169869191,0.187352575,-0.256807116,1,1,0.199911738,0.091461197
29,0.031398815,0.19007032,0.056667101,-0.029335988,0.032844383,0.013144256,2,2,0.266657073,0.001989351
30,0.008840268,0.723438551,-0.159296884,0.003186804,0.167841034,0.433241968,1,1,0.599739062,0.518197619
31,0.028530614,0.249142719,0.329323475,0.011898546,0.082658209,0.020821201,1,1,0.61900399,0.061576613
32,0.170308488,0.514299092,0.303447672,0.174553166,0.076925661,0.084505387,1,1,0.970776787,0.35321856
33,0.037166253,0.477846814,0.755462823,-0.033279659,0.142879234,0.407055081,1,1,1.207955965,0.550552945
34,0.26094136,0.240350034,0.054685314,0.12691599,0.016514062,-0.101693722,1,1,0.607580384,0.036153827
35,0.06274927,0.605647334,-0.006449171,0.282644966,0.606471665,-0.705316254,1,2,0.660210799,0.200172342
36,0.372934104,0.409311825,-0.272952024,0.5150105,-0.128619136,-0.251649522,3,3,0.306458941,0.046510296
37,0.271770861,0.405306232,-0.19132852,0.295789082,0.056539508,-0.155100607,2,1,0.368202986,0.179428912
38,0.170577763,0.280542226,-0.190875931,0.038788481,-0.140682357,0.26739928,2,2,0.132784778,0.004420511
39,-0.016765128,0.440121474,0.059347708,0.052847496,0.327601006,-0.197549298,1,1,0.396765595,0.110547825
40,0.035887928,0.21056659,0.093642847,0.077462253,0.391422018,-0.112370874,1,1,0.34776086,0.319766678
41,0.020662839,0.215408792,0.386143039,0.876381007,-0.024761451,-0.679827433,1,2,0.487689789,0.110322677
42,0.004035504,0.095376957,0.473066165,0.004091472,0.203510726,0.197632564,1,1,0.557123086,0.510011991
43,0,0.009948484,0.171908573,0.000560822,0.026130954,0.054592185,1,1,0.203178966,0.089729476
