Year	Total_Vegetated	Total_Unvegetated	Total_Riparian_Area	Vegetated_Proportion	Vegetated_Proportion_STD
1985.0	108393.072304	13447.712598	121840.784902	0.889629	0.108011
1990.0	120049.088898	15848.274901	135897.363799	0.883381	0.130045
1995.0	283011.078639	23763.437035	306774.516565	0.922538	0.144746
2000.0	214140.617963	17304.282692	231444.900655	0.925234	0.116409
2001.0	249507.480603	17723.986766	267231.467369	0.933676	0.124804
2002.0	135079.018520	11309.316403	146388.334922	0.922744	0.110231
2003.0	198440.964473	15257.145003	213698.112156	0.928604	0.125870
2004.0	248328.614832	16233.431876	264562.047601	0.938640	0.127954
2005.0	241189.433540	17781.539159	258970.973591	0.931338	0.120186
2006.0	281939.697170	21937.326617	303877.024680	0.927809	0.135672
2007.0	297000.117151	23453.647292	320453.766227	0.926811	0.126610
2008.0	303622.764015	22284.654835	325907.420634	0.931623	0.130471
2009.0	289869.539018	20751.397242	310620.938047	0.933194	0.125561
2010.0	294518.592282	21642.204692	316160.796974	0.931547	0.125040
2011.0	278841.817546	22704.384401	301546.204625	0.924707	0.131478
2012.0	307527.817920	27972.687570	335500.508168	0.916624	0.127373
2013.0	331889.821073	34827.744403	366717.568154	0.905028	0.136084
2014.0	337776.515612	37023.998753	374800.515258	0.901217	0.136221
2015.0	323393.161772	39993.885016	363387.049466	0.889941	0.149333
2016.0	331613.360268	42007.073150	373620.436989	0.887568	0.155242
2017.0	327543.085324	40585.208931	368128.296934	0.889753	0.156520
2018.0	334781.783536	38454.003110	373235.797372	0.896971	0.152406
2019.0	331841.392462	37042.519302	368883.913552	0.899582	0.150960
2020.0	333396.887760	39727.767298	373124.661316	0.893527	0.174357
2021.0	330115.366782	38618.842012	368734.209687	0.895266	0.183036
2022.0	332139.073642	39355.803472	371494.884266	0.894061	0.166100
