newFID,WA_cv,MK
1,-0.329008695,-4
2,-2.771047438,-4
3,-1.094956864,-4
4,0.082583431,1
5,-0.439532536,-3
6,-0.201740329,-2
7,-0.216003688,-4
8,-1.03649772,-4
9,-0.213771837,-3
10,-0.007720513,-1
11,-0.222887521,-1
12,-0.002601,-1
13,-0.458441874,-4
14,0.452484264,1
15,0.115177746,1
16,0.525126539,1
17,-0.13793581,-1
18,-0.2398173,-1
19,0.061094709,2
20,-0.307222286,-4
21,-0.319370417,-3
22,-0.689386735,-4
24,-1.09425402,-4
26,-1.622975592,-4
27,-0.193377232,-2
28,-0.703679274,-4
29,-0.379147265,-4
30,-0.869453355,-4
31,-0.235489756,-1
32,0.00796448,1
33,0.412472261,4
34,-0.327112001,-4
35,-0.092105652,-1
36,-0.312071021,-1
37,-0.162984509,-1
38,-0.060796617,-1
39,-0.450886896,-4
40,-0.559289987,-4
41,-0.517732494,-4
42,-0.111662406,-1
43,-0.755224455,-2
44,-0.33439916,-4
45,-0.608514909,-4
46,0.039058439,1
47,-0.525243655,-4
48,-0.408249723,-4
49,0,-1
50,0.491528335,1
51,-0.97595434,-4
52,-0.070295845,-1
53,-0.442192136,-4
54,-0.431160509,-4
55,-0.840885176,-4
56,-0.090550019,-1
57,-0.379781366,-4
58,-2.294667303,-4
59,-0.641817767,-4
60,-0.560679035,-1
61,-0.335037751,-2
62,-0.375026261,-4
63,0.257117891,3
64,-0.379047385,-1
65,-0.940941548,-4
66,-0.659569642,-4
67,-0.089315272,-1
68,-0.160270576,-1
69,-0.224615719,-1
70,-0.259631403,-4
71,-0.114776454,-1
72,-0.452209712,-4
73,-0.192894692,-1
74,-0.617630141,-4
75,0,1
76,0.100575508,1
77,-2.873624525,-4
78,-0.457416243,-1
79,-0.069588218,-1
80,-0.188791115,-1
81,-0.025050926,-1
82,-0.154447473,-1
83,-2.057387776,-4
84,-1.134468218,-4
85,-0.113288936,-1
86,-0.301231846,-4
87,-0.670879883,-1
88,2.094379241,4
89,0.293878655,3
90,-0.174113858,-4
91,-0.773010868,-4
92,-0.14321831,-3
93,0.109774875,1
