newFID,WA_max,MK
1,2.431249122,4
2,0.663975392,4
3,1.334909036,4
4,1.415677336,4
5,1.944990366,4
6,-0.272585031,-1
7,2.524061973,4
8,1.577215013,4
9,1.107814467,4
10,1.123170332,4
11,2.22477951,4
12,2.617384577,4
13,-0.323306769,-1
14,1.42456776,4
15,2.837562572,4
16,0.583227032,2
17,1.441854443,4
18,-0.180617145,-1
19,1.824863785,4
20,1.323372146,4
21,-0.262712268,-1
22,2.779017391,4
24,-0.065106608,-1
26,0.511011733,4
27,1.373667903,4
28,1.60629496,4
29,2.327225473,4
30,1.061213221,3
31,0.328610139,1
32,1.908205905,4
33,1.429856766,4
34,-0.703972448,-1
35,1.156053248,4
36,0.006468638,1
37,0.594695693,4
38,0.165139627,1
39,1.323891777,4
40,1.006227504,4
41,2.592030717,4
42,-0.189020792,-1
43,0.737651435,2
44,0.34336515,1
45,1.773235064,4
46,2.033063267,4
47,2.658957025,4
48,-0.036384655,-1
49,2.200407289,4
50,0.513238141,1
51,0.884238151,2
52,1.303260094,4
53,0.798837392,4
54,1.240435374,4
55,-1.405132566,-4
56,1.748272924,4
57,1.865948199,4
58,0.605874678,2
59,0.570394596,3
60,0.729142437,3
61,1.799482329,4
62,-0.15544142,-1
63,2.427434331,4
64,0.600093695,4
65,1.457157526,4
66,1.091989721,4
67,0.636125344,4
68,2.317632769,4
69,-0.581915125,-2
70,1.628116216,4
71,0.895617716,4
72,0.568109411,2
73,1.400332206,4
74,1.162455802,4
75,0.829246754,3
76,0.049036986,1
77,-0.147679674,-1
78,-1.257073988,-3
79,1.514009783,4
80,2.076272833,4
81,1.053071322,4
82,1.087458866,3
83,1.168626171,4
84,-0.898133728,-2
85,1.612112318,4
86,-0.502163419,-1
87,0.85874683,2
88,0.815135603,4
89,1.242703196,4
90,1.115827558,4
91,1.23490594,4
92,1.096539141,4
93,0.648942858,4
