newFID,WA_mean,MK
1,2.445926384,4
2,2.07211424,4
3,1.450274836,4
4,1.52424466,4
5,2.143100976,4
6,0.211426774,1
7,2.977395217,4
8,2.922798026,4
9,1.571448461,4
10,1.294268371,4
11,2.763667621,4
12,2.509435885,4
13,0.776705928,1
14,2.036752451,4
15,2.872536578,4
16,0.51785778,1
17,1.734151157,4
18,0.046143067,1
19,2.049233446,4
20,2.200304575,4
21,0.423145663,1
22,2.994619204,4
24,0.396373605,2
26,0.988665905,4
27,2.481508022,4
28,2.437869379,4
29,3.113187999,4
30,1.358524566,4
31,0.410717964,2
32,2.397217517,4
33,1.026914006,2
34,-0.380617779,-1
35,1.633651867,4
36,0.950105179,4
37,1.283360711,4
38,0.385779396,1
39,2.026860388,4
40,1.338629531,4
41,2.360128261,4
42,0.063770011,1
43,0.406045115,4
44,0.974934427,4
45,1.816637605,4
46,2.531873976,4
47,2.731351419,4
48,1.28191272,4
49,1.559063459,4
50,0.495331978,2
51,1.366539627,4
52,1.529637793,4
53,2.467916638,4
54,1.730191439,4
55,-1.20674057,-4
56,2.408889426,4
57,2.461193043,4
58,1.10345209,4
59,0.698387319,4
60,1.140823744,4
61,1.98815592,4
62,0.645017785,1
63,1.814986491,4
64,1.361048662,4
65,1.143212265,4
66,2.336535933,4
67,0.972926792,4
68,2.459646971,4
69,-0.54985366,-1
70,1.264418088,4
71,1.182552165,4
72,1.590951715,4
73,1.940920324,4
74,1.899375937,4
75,1.173842505,4
76,-0.04174739,-1
77,0.282673292,1
78,-0.689416287,-1
79,1.030846019,4
80,2.332749736,4
81,1.183364522,4
82,0.914820838,2
83,1.239514432,4
84,0.751486536,3
85,2.270333462,4
86,0.021101784,1
87,1.062603995,4
88,0.690235609,4
89,0.749537728,3
90,1.908903036,4
91,1.339332579,4
92,1.672993536,4
93,1.531104009,4
