source_period,source_class,target_period,target_class,basin_count
1990,A,2000,A,6
1990,A,2000,B,28
1990,A,2000,C,17
1990,A,2000,D,4
1990,B,2000,A,5
1990,B,2000,B,10
1990,B,2000,C,10
1990,B,2000,D,5
1990,B,2000,E,1
1990,C,2000,A,1
1990,C,2000,B,2
1990,C,2000,C,2
2000,A,2010,B,7
2000,A,2010,C,5
2000,B,2010,B,9
2000,B,2010,C,21
2000,B,2010,D,10
2000,C,2010,A,1
2000,C,2010,B,4
2000,C,2010,C,9
2000,C,2010,D,14
2000,C,2010,E,1
2000,D,2010,A,1
2000,D,2010,C,2
2000,D,2010,D,6
2000,E,2010,D,1
2010,A,2020,A,1
2010,A,2020,C,1
2010,B,2020,A,3
2010,B,2020,B,7
2010,B,2020,C,1
2010,B,2020,D,2
2010,B,2020,E,7
2010,C,2020,A,1
2010,C,2020,B,4
2010,C,2020,C,9
2010,C,2020,D,15
2010,C,2020,E,8
2010,D,2020,C,2
2010,D,2020,D,5
2010,D,2020,E,24
2010,E,2020,E,1
