newFID,R2,p_CO2,p_RSA
1,0.472,0.577,0.671
2,0.758,0.002,0.24
3,0.883,0.001,0.002
4,0.586,0.003,0.104
5,0.425,0.54,0.529
6,0.456,0.719,0.27
7,0.707,0.001,0.543
8,0.254,0.855,0.841
9,0.52,0.043,0.622
10,0.212,0.258,0.358
11,0.777,0,0.659
12,0.647,0.005,0.555
13,0.566,0.274,0.576
14,0.466,0.682,0
15,0.86,0.001,0.378
16,0.454,0.036,0.884
17,0.474,0.78,0.522
18,0.447,0.259,0.073
19,0.658,0,0.092
20,0.532,0.916,0.314
21,0.746,0,0.077
22,0.724,0.026,0.676
24,0.617,0.841,0
26,0.44,0.421,0.655
27,0.467,0.315,0.374
28,0.438,0.076,0.674
29,0.378,0.018,0.119
30,0.555,0.151,0.078
31,0.734,0,0.249
32,0.799,0,0.232
33,0.736,0.001,0.352
34,0.506,0,0.815
35,0.487,0.205,0.165
36,0.352,0.849,0.762
37,0.34,0.315,0.679
38,0.592,0.221,0.347
39,0.55,0.185,0.957
40,0.454,0.668,0.44
41,0.533,0.17,0.621
42,0.595,0,0.957
43,0.626,0.173,0.111
44,0.61,0.001,0.402
45,0.682,0.205,0.308
46,0.573,0.051,0.542
47,0.23,0.911,0.399
48,0.405,0.093,0.328
49,0.708,0.133,0.607
50,0.445,0.224,0.568
51,0.616,0.283,0.032
52,0.5,0.039,0.794
53,0.45,0.763,0.376
54,0.534,0.459,0.398
55,0.333,0.9,0.485
56,0.548,0.393,0.652
57,0.801,0.612,0
58,0.72,0,0.597
59,0.249,0.604,0.475
60,0.492,0.396,0.304
61,0.563,0.055,0.624
62,0.457,0.058,0.688
63,0.64,0.166,0.396
64,0.284,0.532,0.467
65,0.341,0.189,0.962
66,0.286,0.413,0.2
67,0.469,0.712,0.009
68,0.359,0.08,0.252
69,0.552,0.092,0.055
70,0.889,0,0.036
71,0.401,0.652,0.996
72,0.756,0.018,0.121
73,0.285,0.198,0.777
74,0.488,0.239,0.083
75,0.601,0.004,0.668
76,0.542,0,0.373
77,0.666,0.322,0.226
78,0.714,0.002,0.097
79,0.489,0.967,0.048
80,0.52,0.345,0.908
81,0.628,0.026,0.188
82,0.742,0.012,0.015
83,0.867,0,0.001
84,0.354,0.996,0.17
85,0.309,0.105,0.432
86,0.7,0.011,0.843
87,0.136,0.811,0.316
88,0.645,0,0.831
89,0.343,0.858,0.628
90,0.484,0.212,0.54
91,0.284,0.495,0.438
92,0.306,0.485,0.377
93,0.598,0,0.627
