newFID,R2,p_CO2,p_RSA
1,0.24,0.427,0.626
2,0.726,0.003,0.787
3,0.725,0.001,0.448
4,0.402,0.298,0.641
5,0.411,0.495,0.61
6,0.274,0.731,0.173
7,0.672,0.006,0.674
8,0.401,0.95,0.474
9,0.506,0.043,0.929
10,0.393,0.819,0.774
11,0.427,0.085,0.687
12,0.672,0.004,0.42
13,0.187,0.494,0.827
14,0.345,0.562,0.004
15,0.812,0.064,0.759
16,0.53,0.067,0.502
17,0.319,0.578,0.417
18,0.473,0.259,0.18
19,0.601,0.249,0.259
20,0.382,0.704,0.963
21,0.585,0.15,0.144
22,0.687,0.071,0.763
24,0.742,0.827,0
26,0.537,0.236,0.738
27,0.34,0.492,0.238
28,0.462,0.05,0.811
29,0.34,0.175,0.351
30,0.354,0.175,0.279
31,0.693,0,0.262
32,0.628,0.078,0.965
33,0.729,0.001,0.835
34,0.191,0.159,0.76
35,0.663,0.002,0.014
36,0.445,0.372,0.766
37,0.541,0.045,0.754
38,0.693,0.573,0.409
39,0.55,0.767,0.622
40,0.285,0.816,0.389
41,0.623,0.29,0.985
42,0.586,0.027,0.936
43,0.762,0.041,0.045
44,0.512,0.187,0.298
45,0.422,0.329,0.527
46,0.686,0.282,0.35
47,0.347,0.232,0.89
48,0.459,0.125,0.485
49,0.409,0.394,0.476
50,0.289,0.241,0.386
51,0.597,0.953,0.01
52,0.226,0.879,0.796
53,0.267,0.575,0.336
54,0.644,0.256,0.295
55,0.537,0.369,0.805
56,0.459,0.066,0.318
57,0.78,0.817,0
58,0.579,0.003,0.751
59,0.428,0.331,0.639
60,0.481,0.486,0.358
61,0.637,0,0.098
62,0.249,0.38,0.579
63,0.362,0.734,0.73
64,0.472,0.067,0.252
65,0.444,0.643,0.308
66,0.373,0.537,0.432
67,0.589,0.765,0.02
68,0.537,0.051,0.83
69,0.293,0.357,0.749
70,0.481,0.004,0.652
71,0.267,0.723,0.954
72,0.327,0.876,0.34
73,0.306,0.994,0.944
74,0.587,0.263,0.312
75,0.555,0.048,0.395
76,0.473,0.07,0.993
77,0.681,0,0.393
78,0.378,0.189,0.215
79,0.617,0.274,0.025
80,0.297,0.449,0.685
81,0.413,0.79,0.241
82,0.521,0,0.646
83,0.856,0,0
84,0.403,0.079,0.21
85,0.481,0.006,0.93
86,0.506,0.08,0.18
87,0.268,0.221,0.021
88,0.629,0,0.845
89,0.36,0.336,0.763
90,0.399,0.599,0.34
91,0.223,0.232,0.019
92,0.286,0.654,0.541
93,0.646,0,0.42
